Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
15,1.72106E+12,15/07/2024 15:40,1.72106E+12,1,15/07/2024 16:40,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,4,2,2,individual,Zone4,timelimit_screen,1000,,,,,0,1,0,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
16,1.72106E+12,15/07/2024 15:40,1.72106E+12,1,15/07/2024 16:40,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,4,2,3,offer,Zone3,response_button_image,2003.9000000059605,,,redBox.png,1,1,0,0,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
17,1.72106E+12,15/07/2024 15:41,1.72106E+12,1,15/07/2024 16:41,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,4,2,5,feedback_r,Zone7,timelimit_screen,1999.8999999999942,,,,,0,1,0,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
18,1.72106E+12,15/07/2024 15:41,1.72106E+12,1,15/07/2024 16:41,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,4,2,6,end,Zone1,timelimit_screen,149.10000000000582,,,,,0,1,0,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
19,1.72106E+12,15/07/2024 15:41,1.72106E+12,1,15/07/2024 16:41,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,5,3,1,Screen 1,Zone1,continue_button,879.5,,,,,0,1,0,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
20,1.72106E+12,15/07/2024 15:41,1.72106E+12,1,15/07/2024 16:41,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,5,3,2,individual,Zone4,timelimit_screen,1000.9000000000087,,,,,0,1,0,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
21,1.72106E+12,15/07/2024 15:41,1.72106E+12,1,15/07/2024 16:41,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,5,3,3,offer,Zone3,response_button_image,1023.7999999970198,,,redBox.png,1,1,0,0,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
22,1.72106E+12,15/07/2024 15:41,1.72106E+12,1,15/07/2024 16:41,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,5,3,5,feedback_r,Zone7,timelimit_screen,2001.1000000000058,,,,,0,1,0,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
23,1.72106E+12,15/07/2024 15:41,1.72106E+12,1,15/07/2024 16:41,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,5,3,6,end,Zone1,timelimit_screen,149,,,,,0,1,0,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
24,1.72106E+12,15/07/2024 15:41,1.72106E+12,1,15/07/2024 16:41,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,6,2,1,Screen 1,Zone1,continue_button,1026.7999999970198,,,,,0,1,0,,,,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,6,5,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.832,1.118,0.752,1.79,expert
25,1.72106E+12,15/07/2024 15:41,1.72106E+12,1,15/07/2024 16:41,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,6,2,2,individual,Zone4,timelimit_screen,1000,,,,,0,1,0,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,6,5,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.832,1.118,0.752,1.79,expert
26,1.72106E+12,15/07/2024 15:41,1.72106E+12,1,15/07/2024 16:41,183183,5,task-cj2d,,38979086,4,11344871,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1792x1120,1792x955,,,,SLS,2,schedule_A,schedule_A,6,2,3,offer,Zone2,response_button_image,939.2000000029802,,,redBox.png,1,1,0,0,,,,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,6,5,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.832,1.118,0.752,1.79,expert
