EventIndex,UTCTimestamp,UTCDate,LocalTimestamp,LocalTimezone,LocalDate,ExperimentID,ExperimentVersion,TreeNodeKey,RepeatKey,ScheduleID,ParticipantPublicID,ParticipantPrivateID,ParticipantStartingGroup,ParticipantStatus,ParticipantCompletionCode,ParticipantExternalSessionID,ParticipantDeviceType,ParticipantDevice,ParticipantOS,ParticipantBrowser,ParticipantMonitorSize,ParticipantViewportSize,Checkpoint,TaskName,TaskVersion,randomiser_6z9f,branch_kxy7,checkpoint_tqwf,branch_rtog,branch_7dgx,checkpoint_mqen,branch_yx2c,branch_3n8o,branch_f1s6,branch_x6l7,branch_21hs,checkpoint_iz27,checkpoint_sry6,Spreadsheet,SpreadsheetName,SpreadsheetRow,TrialNumber,ScreenNumber,ScreenName,ZoneName,ZoneType,ReactionTime,ReactionOnset,ResponseType,Response,Attempt,Correct,Incorrect,Dishonest,XCoordinate,YCoordinate,TimedOut,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
1,1673379100578,10/01/2023 19:31:40,1673379100282,0,10/01/2023 19:31:40,111483,5,task-xjip,repeat-7g8d#1->-repeat-38fk#1,26307347,BLIND,7766400,NaN,complete,NaN,63bdb71b374a15fbe31fe02d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1500x1000,1500x1000,Start of Day 2,SLS,90,A,Pass,End of Day 1,Pass,NaN,NaN,NaN,Pass,NaN,Pass,NaN,Start of Day 2,NaN,schedule_A,,NaN,NaN,NaN,,,,NaN,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
2,1673379103215,10/01/2023 19:31:43,1673379102952,0,10/01/2023 19:31:42,111483,5,task-xjip,repeat-7g8d#1->-repeat-38fk#1,26307347,BLIND,7766400,NaN,complete,NaN,63bdb71b374a15fbe31fe02d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1500x1000,1500x1000,Start of Day 2,SLS,90,A,Pass,End of Day 1,Pass,NaN,NaN,NaN,Pass,NaN,Pass,NaN,Start of Day 2,NaN,schedule_A,schedule_A,1,1,1,Screen 1,Zone1,continue_button,2309.59999996424,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,getReady,,,,,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
3,1673379105666,10/01/2023 19:31:45,1673379105409,0,10/01/2023 19:31:45,111483,5,task-xjip,repeat-7g8d#1->-repeat-38fk#1,26307347,BLIND,7766400,NaN,complete,NaN,63bdb71b374a15fbe31fe02d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1500x1000,1500x1000,Start of Day 2,SLS,90,A,Pass,End of Day 1,Pass,NaN,NaN,NaN,Pass,NaN,Pass,NaN,Start of Day 2,NaN,schedule_A,schedule_A,1,1,2,Screen 2,Zone1,continue_button,2452.5,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,getReady,,,,,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
4,1673379107585,10/01/2023 19:31:47,1673379107310,0,10/01/2023 19:31:47,111483,5,task-xjip,repeat-7g8d#1->-repeat-38fk#1,26307347,BLIND,7766400,NaN,complete,NaN,63bdb71b374a15fbe31fe02d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1500x1000,1500x1000,Start of Day 2,SLS,90,A,Pass,End of Day 1,Pass,NaN,NaN,NaN,Pass,NaN,Pass,NaN,Start of Day 2,NaN,schedule_A,schedule_A,2,1,1,Screen 1,Zone1,continue_button,1886.79999995232,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
5,1673379108535,10/01/2023 19:31:48,1673379108293,0,10/01/2023 19:31:48,111483,5,task-xjip,repeat-7g8d#1->-repeat-38fk#1,26307347,BLIND,7766400,NaN,complete,NaN,63bdb71b374a15fbe31fe02d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1500x1000,1500x1000,Start of Day 2,SLS,90,A,Pass,End of Day 1,Pass,NaN,NaN,NaN,Pass,NaN,Pass,NaN,Start of Day 2,NaN,schedule_A,schedule_A,2,1,2,individual,Zone4,timelimit_screen,999.261,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
6,1673379109835,10/01/2023 19:31:49,1673379109579,0,10/01/2023 19:31:49,111483,5,task-xjip,repeat-7g8d#1->-repeat-38fk#1,26307347,BLIND,7766400,NaN,complete,NaN,63bdb71b374a15fbe31fe02d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1500x1000,1500x1000,Start of Day 2,SLS,90,A,Pass,End of Day 1,Pass,NaN,NaN,NaN,Pass,NaN,Pass,NaN,Start of Day 2,NaN,schedule_A,schedule_A,2,1,3,offer,Zone2,response_button_image,1279.5,NaN,NaN,yellowBox.png,1,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
7,1673379111831,10/01/2023 19:31:51,1673379111577,0,10/01/2023 19:31:51,111483,5,task-xjip,repeat-7g8d#1->-repeat-38fk#1,26307347,BLIND,7766400,NaN,complete,NaN,63bdb71b374a15fbe31fe02d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1500x1000,1500x1000,Start of Day 2,SLS,90,A,Pass,End of Day 1,Pass,NaN,NaN,NaN,Pass,NaN,Pass,NaN,Start of Day 2,NaN,schedule_A,schedule_A,2,1,4,feedback_l,Zone7,timelimit_screen,1999.531,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
8,1673379111969,10/01/2023 19:31:51,1673379111726,0,10/01/2023 19:31:51,111483,5,task-xjip,repeat-7g8d#1->-repeat-38fk#1,26307347,BLIND,7766400,NaN,complete,NaN,63bdb71b374a15fbe31fe02d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1500x1000,1500x1000,Start of Day 2,SLS,90,A,Pass,End of Day 1,Pass,NaN,NaN,NaN,Pass,NaN,Pass,NaN,Start of Day 2,NaN,schedule_A,schedule_A,2,1,6,end,Zone1,timelimit_screen,150.074000000001,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
9,1673379113682,10/01/2023 19:31:53,1673379113438,0,10/01/2023 19:31:53,111483,5,task-xjip,repeat-7g8d#1->-repeat-38fk#1,26307347,BLIND,7766400,NaN,complete,NaN,63bdb71b374a15fbe31fe02d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1500x1000,1500x1000,Start of Day 2,SLS,90,A,Pass,End of Day 1,Pass,NaN,NaN,NaN,Pass,NaN,Pass,NaN,Start of Day 2,NaN,schedule_A,schedule_A,3,1,1,Screen 1,Zone1,continue_button,1697.69999998808,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,NaN,NaN,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
10,1673379114677,10/01/2023 19:31:54,1673379114427,0,10/01/2023 19:31:54,111483,5,task-xjip,repeat-7g8d#1->-repeat-38fk#1,26307347,BLIND,7766400,NaN,complete,NaN,63bdb71b374a15fbe31fe02d,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1500x1000,1500x1000,Start of Day 2,SLS,90,A,Pass,End of Day 1,Pass,NaN,NaN,NaN,Pass,NaN,Pass,NaN,Start of Day 2,NaN,schedule_A,schedule_A,3,1,2,individual,Zone4,timelimit_screen,1000.314,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,NaN,NaN,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
