EventIndex,UTCTimestamp,UTCDate,LocalTimestamp,LocalTimezone,LocalDate,ExperimentID,ExperimentVersion,TreeNodeKey,RepeatKey,ScheduleID,ParticipantPublicID,ParticipantPrivateID,ParticipantStartingGroup,ParticipantStatus,ParticipantCompletionCode,ParticipantExternalSessionID,ParticipantDeviceType,ParticipantDevice,ParticipantOS,ParticipantBrowser,ParticipantMonitorSize,ParticipantViewportSize,Checkpoint,TaskName,TaskVersion,randomiser_6z9f,branch_kxy7,checkpoint_tqwf,branch_rtog,branch_7dgx,checkpoint_mqen,branch_yx2c,branch_3n8o,branch_f1s6,branch_x6l7,branch_21hs,Spreadsheet,SpreadsheetName,SpreadsheetRow,TrialNumber,ScreenNumber,ScreenName,ZoneName,ZoneType,ReactionTime,ReactionOnset,ResponseType,Response,Attempt,Correct,Incorrect,Dishonest,XCoordinate,YCoordinate,TimedOut,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
187,1671117909154,15/12/2022 15:25:09,1671117912125,0,15/12/2022 15:25:12,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25974544,BLIND,7672976,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,38,17,5,feedback_r,Zone7,timelimit_screen,1999.95300000001,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,blueBox.png,greenBox.png,blueBox.png,al2_uncon.png,68,37,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Volatile,3.143,0.601,0.966,2.277,inexpert
188,1671117909292,15/12/2022 15:25:09,1671117912275,0,15/12/2022 15:25:12,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25974544,BLIND,7672976,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,38,17,6,end,Zone1,timelimit_screen,149.951000000001,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,blueBox.png,greenBox.png,blueBox.png,al2_uncon.png,68,37,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Volatile,3.143,0.601,0.966,2.277,inexpert
189,1671117910104,15/12/2022 15:25:10,1671117913095,0,15/12/2022 15:25:13,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25974544,BLIND,7672976,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,39,18,1,Screen 1,Zone1,continue_button,809.699999988079,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_right,blueBox.png,blueBox.png,greenBox.png,al2_uncon.png,69,38,NaN,NaN,0.85,0.85,1,0,0,1,Volatile,Volatile,3.571,1.899,0.828,1.353,inexpert
190,1671117911108,15/12/2022 15:25:11,1671117914092,0,15/12/2022 15:25:14,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25974544,BLIND,7672976,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,39,18,2,individual,Zone4,timelimit_screen,999.976999999984,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,blueBox.png,blueBox.png,greenBox.png,al2_uncon.png,69,38,NaN,NaN,0.85,0.85,1,0,0,1,Volatile,Volatile,3.571,1.899,0.828,1.353,inexpert
191,1671117912136,15/12/2022 15:25:12,1671117915128,0,15/12/2022 15:25:15,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25974544,BLIND,7672976,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,39,18,3,offer,Zone3,response_button_image,1027.59999999404,NaN,NaN,greenBox.png,1,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_right,blueBox.png,blueBox.png,greenBox.png,al2_uncon.png,69,38,NaN,NaN,0.85,0.85,1,0,0,1,Volatile,Volatile,3.571,1.899,0.828,1.353,inexpert
192,1671117914135,15/12/2022 15:25:14,1671117917125,0,15/12/2022 15:25:17,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25974544,BLIND,7672976,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,39,18,5,feedback_r,Zone7,timelimit_screen,1999.959,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,blueBox.png,blueBox.png,greenBox.png,al2_uncon.png,69,38,NaN,NaN,0.85,0.85,1,0,0,1,Volatile,Volatile,3.571,1.899,0.828,1.353,inexpert
193,1671117914296,15/12/2022 15:25:14,1671117917275,0,15/12/2022 15:25:17,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25974544,BLIND,7672976,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,39,18,6,end,Zone1,timelimit_screen,149.958000000013,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,blueBox.png,blueBox.png,greenBox.png,al2_uncon.png,69,38,NaN,NaN,0.85,0.85,1,0,0,1,Volatile,Volatile,3.571,1.899,0.828,1.353,inexpert
194,1671117915637,15/12/2022 15:25:15,1671117918616,0,15/12/2022 15:25:18,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25974544,BLIND,7672976,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,40,21,1,Screen 1,Zone1,continue_button,1331.20000001788,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_left,blueBox.png,blueBox.png,greenBox.png,al2_uncon.png,70,39,NaN,NaN,0.85,0.85,1,1,1,1,Volatile,Volatile,1.933,0.664,1.748,1.622,inexpert
195,1671117916626,15/12/2022 15:25:16,1671117919609,0,15/12/2022 15:25:19,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25974544,BLIND,7672976,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,40,21,2,individual,Zone4,timelimit_screen,999.991000000009,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_left,blueBox.png,blueBox.png,greenBox.png,al2_uncon.png,70,39,NaN,NaN,0.85,0.85,1,1,1,1,Volatile,Volatile,1.933,0.664,1.748,1.622,inexpert
196,1671117917478,15/12/2022 15:25:17,1671117920464,0,15/12/2022 15:25:20,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25974544,BLIND,7672976,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1920x1080,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,40,21,3,offer,Zone2,response_button_image,849.5,NaN,NaN,blueBox.png,1,1,0,0,NaN,NaN,NaN,NaN,NaN,trial_left,blueBox.png,blueBox.png,greenBox.png,al2_uncon.png,70,39,NaN,NaN,0.85,0.85,1,1,1,1,Volatile,Volatile,1.933,0.664,1.748,1.622,inexpert
