EventIndex,UTCTimestamp,UTCDate,LocalTimestamp,LocalTimezone,LocalDate,ExperimentID,ExperimentVersion,TreeNodeKey,RepeatKey,ScheduleID,ParticipantPublicID,ParticipantPrivateID,ParticipantStartingGroup,ParticipantStatus,ParticipantCompletionCode,ParticipantExternalSessionID,ParticipantDeviceType,ParticipantDevice,ParticipantOS,ParticipantBrowser,ParticipantMonitorSize,ParticipantViewportSize,Checkpoint,TaskName,TaskVersion,randomiser_6z9f,branch_kxy7,checkpoint_tqwf,branch_rtog,branch_7dgx,checkpoint_mqen,branch_yx2c,branch_3n8o,branch_f1s6,branch_x6l7,branch_21hs,Spreadsheet,SpreadsheetName,SpreadsheetRow,TrialNumber,ScreenNumber,ScreenName,ZoneName,ZoneType,ReactionTime,ReactionOnset,ResponseType,Response,Attempt,Correct,Incorrect,Dishonest,XCoordinate,YCoordinate,TimedOut,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
1,1671138963281,15/12/2022 21:16:03,1671138963187,0,15/12/2022 21:16:03,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25980797,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,,NaN,NaN,NaN,,,,NaN,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
2,1671138965342,15/12/2022 21:16:05,1671138965298,0,15/12/2022 21:16:05,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25980797,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,1,1,1,Screen 1,Zone1,continue_button,1712,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,getReadyb,,,,,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
3,1671138967236,15/12/2022 21:16:07,1671138967184,0,15/12/2022 21:16:07,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25980797,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,1,1,2,Screen 2,Zone1,continue_button,1878,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,getReadyb,,,,,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
4,1671138969826,15/12/2022 21:16:09,1671138969775,0,15/12/2022 21:16:09,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25980797,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,2,1,1,Screen 1,Zone1,continue_button,2567,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_right,greenBox.png,greenBox.png,blueBox.png,al2_uncon.png,2,1,NaN,NaN,0.85,0.15,0,0,1,0,Stable,Stable,3.471,0.525,1.66,2.529,inexpert
5,1671138970811,15/12/2022 21:16:10,1671138970769,0,15/12/2022 21:16:10,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25980797,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,2,1,2,individual,Zone4,timelimit_screen,1007,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,greenBox.png,greenBox.png,blueBox.png,al2_uncon.png,2,1,NaN,NaN,0.85,0.15,0,0,1,0,Stable,Stable,3.471,0.525,1.66,2.529,inexpert
6,1671138972271,15/12/2022 21:16:12,1671138972041,0,15/12/2022 21:16:12,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25980797,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,2,1,3,offer,Zone3,response_button_image,1260,NaN,NaN,blueBox.png,1,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_right,greenBox.png,greenBox.png,blueBox.png,al2_uncon.png,2,1,NaN,NaN,0.85,0.15,0,0,1,0,Stable,Stable,3.471,0.525,1.66,2.529,inexpert
7,1671138974113,15/12/2022 21:16:14,1671138974037,0,15/12/2022 21:16:14,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25980797,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,2,1,5,feedback_r,Zone7,timelimit_screen,2004,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,greenBox.png,greenBox.png,blueBox.png,al2_uncon.png,2,1,NaN,NaN,0.85,0.15,0,0,1,0,Stable,Stable,3.471,0.525,1.66,2.529,inexpert
8,1671138974372,15/12/2022 21:16:14,1671138974191,0,15/12/2022 21:16:14,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25980797,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,2,1,6,end,Zone1,timelimit_screen,154,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,greenBox.png,greenBox.png,blueBox.png,al2_uncon.png,2,1,NaN,NaN,0.85,0.15,0,0,1,0,Stable,Stable,3.471,0.525,1.66,2.529,inexpert
9,1671138975430,15/12/2022 21:16:15,1671138975354,0,15/12/2022 21:16:15,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25980797,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,3,1,1,Screen 1,Zone1,continue_button,1142,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_left,blueBox.png,greenBox.png,blueBox.png,al2_uncon.png,3,2,NaN,NaN,0.85,0.15,1,0,0,0,Stable,Stable,1.782,1.168,1.168,2.462,inexpert
10,1671138976461,15/12/2022 21:16:16,1671138976342,0,15/12/2022 21:16:16,109680,37,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,25980797,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,1440x900,1440x820,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_B,schedule_B,3,1,2,individual,Zone4,timelimit_screen,1004,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_left,blueBox.png,greenBox.png,blueBox.png,al2_uncon.png,3,2,NaN,NaN,0.85,0.15,1,0,0,0,Stable,Stable,1.782,1.168,1.168,2.462,inexpert
