EventIndex,UTCTimestamp,UTCDate,LocalTimestamp,LocalTimezone,LocalDate,ExperimentID,ExperimentVersion,TreeNodeKey,RepeatKey,ScheduleID,ParticipantPublicID,ParticipantPrivateID,ParticipantStartingGroup,ParticipantStatus,ParticipantCompletionCode,ParticipantExternalSessionID,ParticipantDeviceType,ParticipantDevice,ParticipantOS,ParticipantBrowser,ParticipantMonitorSize,ParticipantViewportSize,Checkpoint,TaskName,TaskVersion,randomiser_6z9f,branch_kxy7,checkpoint_tqwf,branch_rtog,branch_7dgx,checkpoint_mqen,branch_yx2c,branch_3n8o,branch_f1s6,branch_x6l7,branch_21hs,Spreadsheet,SpreadsheetName,SpreadsheetRow,TrialNumber,ScreenNumber,ScreenName,ZoneName,ZoneType,ReactionTime,ReactionOnset,ResponseType,Response,Attempt,Correct,Incorrect,Dishonest,XCoordinate,YCoordinate,TimedOut,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
1,1671223471802,16/12/2022 20:44:31,1671223473948,0,16/12/2022 20:44:33,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,,NaN,NaN,NaN,,,,NaN,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
2,1671223473248,16/12/2022 20:44:33,1671223475452,0,16/12/2022 20:44:35,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,1,1,1,Screen 1,Zone1,continue_button,1351,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,getReady,,,,,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
3,1671223474498,16/12/2022 20:44:34,1671223476704,0,16/12/2022 20:44:36,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,1,1,2,Screen 2,Zone1,continue_button,1248,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,getReady,,,,,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
4,1671223479769,16/12/2022 20:44:39,1671223481939,0,16/12/2022 20:44:41,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,2,1,1,Screen 1,Zone1,continue_button,5217,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
5,1671223480751,16/12/2022 20:44:40,1671223482938,0,16/12/2022 20:44:42,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,2,1,2,individual,Zone4,timelimit_screen,999.900000000001,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
6,1671223481301,16/12/2022 20:44:41,1671223483506,0,16/12/2022 20:44:43,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,2,1,3,offer,Zone3,response_button_image,555,NaN,NaN,redBox.png,1,1,0,0,NaN,NaN,NaN,NaN,NaN,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
7,1671223483309,16/12/2022 20:44:43,1671223485502,0,16/12/2022 20:44:45,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,2,1,5,feedback_r,Zone7,timelimit_screen,1999.86,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
8,1671223483444,16/12/2022 20:44:43,1671223485654,0,16/12/2022 20:44:45,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,2,1,6,end,Zone1,timelimit_screen,149.92,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,NaN,NaN,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
9,1671223484908,16/12/2022 20:44:44,1671223487120,0,16/12/2022 20:44:47,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,3,1,1,Screen 1,Zone1,continue_button,1444,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,NaN,NaN,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
10,1671223485922,16/12/2022 20:44:45,1671223488120,0,16/12/2022 20:44:48,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,3,1,2,individual,Zone4,timelimit_screen,999.860000000001,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,NaN,NaN,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
11,1671223486527,16/12/2022 20:44:46,1671223488734,0,16/12/2022 20:44:48,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,3,1,3,offer,Zone2,response_button_image,604,NaN,NaN,redBox.png,1,1,0,0,NaN,NaN,NaN,NaN,NaN,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,NaN,NaN,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
12,1671223488517,16/12/2022 20:44:48,1671223490720,0,16/12/2022 20:44:50,109680,37,task-v1fs,repeat-u7ds#1->-repeat-l3h2#1->-repeat-pi7a#1->-repeat-apgu#1,25998812,BLIND,7674790,NaN,complete,NaN,NaN,computer,Desktop or Laptop,Windows 10,Firefox 107.0,1536x864,1536x864,End of Day 1,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,schedule_A,schedule_A,3,1,4,feedback_l,Zone7,timelimit_screen,1999.84,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,NaN,NaN,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
