EventIndex,UTCTimestamp,UTCDate,LocalTimestamp,LocalTimezone,LocalDate,ExperimentID,ExperimentVersion,TreeNodeKey,RepeatKey,ScheduleID,ParticipantPublicID,ParticipantPrivateID,ParticipantStartingGroup,ParticipantStatus,ParticipantCompletionCode,ParticipantExternalSessionID,ParticipantDeviceType,ParticipantDevice,ParticipantOS,ParticipantBrowser,ParticipantMonitorSize,ParticipantViewportSize,Checkpoint,TaskName,TaskVersion,randomiser_6z9f,branch_kxy7,checkpoint_tqwf,branch_rtog,branch_7dgx,checkpoint_mqen,branch_yx2c,branch_3n8o,branch_f1s6,branch_x6l7,branch_21hs,checkpoint_iz27,checkpoint_sry6,Spreadsheet,SpreadsheetName,SpreadsheetRow,TrialNumber,ScreenNumber,ScreenName,ZoneName,ZoneType,ReactionTime,ReactionOnset,ResponseType,Response,Attempt,Correct,Incorrect,Dishonest,XCoordinate,YCoordinate,TimedOut,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
1,1673378773816,10/01/2023 19:26:13,1673378773593,0,10/01/2023 19:26:13,111483,5,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,26307245,BLIND,7766384,NaN,complete,NaN,63bdb64bc7338fb4af0e3822,computer,Desktop or Laptop,Chromium OS 15183.69.0,Chrome 108.0.0.0,1536x864,1536x864,Start of Day 2,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,NaN,Start of Day 2,schedule_B,,NaN,NaN,NaN,,,,NaN,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
2,1673378775983,10/01/2023 19:26:15,1673378775809,0,10/01/2023 19:26:15,111483,5,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,26307245,BLIND,7766384,NaN,complete,NaN,63bdb64bc7338fb4af0e3822,computer,Desktop or Laptop,Chromium OS 15183.69.0,Chrome 108.0.0.0,1536x864,1536x864,Start of Day 2,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,NaN,Start of Day 2,schedule_B,schedule_B,1,1,1,Screen 1,Zone1,continue_button,1647.59999999404,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,getReadyb,,,,,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
3,1673378777726,10/01/2023 19:26:17,1673378777540,0,10/01/2023 19:26:17,111483,5,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,26307245,BLIND,7766384,NaN,complete,NaN,63bdb64bc7338fb4af0e3822,computer,Desktop or Laptop,Chromium OS 15183.69.0,Chrome 108.0.0.0,1536x864,1536x864,Start of Day 2,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,NaN,Start of Day 2,schedule_B,schedule_B,1,1,2,Screen 2,Zone1,continue_button,1718.70000000298,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,getReadyb,,,,,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,
4,1673378782739,10/01/2023 19:26:22,1673378782377,0,10/01/2023 19:26:22,111483,5,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,26307245,BLIND,7766384,NaN,complete,NaN,63bdb64bc7338fb4af0e3822,computer,Desktop or Laptop,Chromium OS 15183.69.0,Chrome 108.0.0.0,1536x864,1536x864,Start of Day 2,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,NaN,Start of Day 2,schedule_B,schedule_B,2,1,1,Screen 1,Zone1,continue_button,4799.29999999702,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_right,greenBox.png,greenBox.png,blueBox.png,al2_uncon.png,2,1,NaN,NaN,0.85,0.15,0,0,1,0,Stable,Stable,3.471,0.525,1.66,2.529,inexpert
5,1673378783548,10/01/2023 19:26:23,1673378783366,0,10/01/2023 19:26:23,111483,5,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,26307245,BLIND,7766384,NaN,complete,NaN,63bdb64bc7338fb4af0e3822,computer,Desktop or Laptop,Chromium OS 15183.69.0,Chrome 108.0.0.0,1536x864,1536x864,Start of Day 2,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,NaN,Start of Day 2,schedule_B,schedule_B,2,1,2,individual,Zone4,timelimit_screen,999.656999999999,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,greenBox.png,greenBox.png,blueBox.png,al2_uncon.png,2,1,NaN,NaN,0.85,0.15,0,0,1,0,Stable,Stable,3.471,0.525,1.66,2.529,inexpert
6,1673378784480,10/01/2023 19:26:24,1673378784328,0,10/01/2023 19:26:24,111483,5,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,26307245,BLIND,7766384,NaN,complete,NaN,63bdb64bc7338fb4af0e3822,computer,Desktop or Laptop,Chromium OS 15183.69.0,Chrome 108.0.0.0,1536x864,1536x864,Start of Day 2,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,NaN,Start of Day 2,schedule_B,schedule_B,2,1,3,offer,Zone3,response_button_image,934.70000000298,NaN,NaN,blueBox.png,1,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_right,greenBox.png,greenBox.png,blueBox.png,al2_uncon.png,2,1,NaN,NaN,0.85,0.15,0,0,1,0,Stable,Stable,3.471,0.525,1.66,2.529,inexpert
7,1673378786475,10/01/2023 19:26:26,1673378786315,0,10/01/2023 19:26:26,111483,5,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,26307245,BLIND,7766384,NaN,complete,NaN,63bdb64bc7338fb4af0e3822,computer,Desktop or Laptop,Chromium OS 15183.69.0,Chrome 108.0.0.0,1536x864,1536x864,Start of Day 2,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,NaN,Start of Day 2,schedule_B,schedule_B,2,1,5,feedback_r,Zone7,timelimit_screen,1999.33,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,greenBox.png,greenBox.png,blueBox.png,al2_uncon.png,2,1,NaN,NaN,0.85,0.15,0,0,1,0,Stable,Stable,3.471,0.525,1.66,2.529,inexpert
8,1673378786665,10/01/2023 19:26:26,1673378786465,0,10/01/2023 19:26:26,111483,5,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,26307245,BLIND,7766384,NaN,complete,NaN,63bdb64bc7338fb4af0e3822,computer,Desktop or Laptop,Chromium OS 15183.69.0,Chrome 108.0.0.0,1536x864,1536x864,Start of Day 2,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,NaN,Start of Day 2,schedule_B,schedule_B,2,1,6,end,Zone1,timelimit_screen,149.958999999999,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_right,greenBox.png,greenBox.png,blueBox.png,al2_uncon.png,2,1,NaN,NaN,0.85,0.15,0,0,1,0,Stable,Stable,3.471,0.525,1.66,2.529,inexpert
9,1673378787568,10/01/2023 19:26:27,1673378787414,0,10/01/2023 19:26:27,111483,5,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,26307245,BLIND,7766384,NaN,complete,NaN,63bdb64bc7338fb4af0e3822,computer,Desktop or Laptop,Chromium OS 15183.69.0,Chrome 108.0.0.0,1536x864,1536x864,Start of Day 2,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,NaN,Start of Day 2,schedule_B,schedule_B,3,1,1,Screen 1,Zone1,continue_button,915,NaN,NaN,,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,trial_left,blueBox.png,greenBox.png,blueBox.png,al2_uncon.png,3,2,NaN,NaN,0.85,0.15,1,0,0,0,Stable,Stable,1.782,1.168,1.168,2.462,inexpert
10,1673378788675,10/01/2023 19:26:28,1673378788398,0,10/01/2023 19:26:28,111483,5,task-rbyw,repeat-u7ds#1->-repeat-l3h2#1,26307245,BLIND,7766384,NaN,complete,NaN,63bdb64bc7338fb4af0e3822,computer,Desktop or Laptop,Chromium OS 15183.69.0,Chrome 108.0.0.0,1536x864,1536x864,Start of Day 2,SLS,90,B,NaN,NaN,NaN,Pass,End of Day 1,Pass,NaN,Pass,NaN,Pass,NaN,Start of Day 2,schedule_B,schedule_B,3,1,2,individual,Zone4,timelimit_screen,999.614,NaN,NaN,,NaN,0,1,0,NaN,NaN,1,NaN,NaN,trial_left,blueBox.png,greenBox.png,blueBox.png,al2_uncon.png,3,2,NaN,NaN,0.85,0.15,1,0,0,0,Stable,Stable,1.782,1.168,1.168,2.462,inexpert
