Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
1,1756914309738,03/09/2025 15:45,1756914310334,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1756914315514,03/09/2025 15:45,1756914316154,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,1,1,1,Screen 1,Zone1,continue_button,5486.699999999255,,,,0,,,,,,,,getReady,,,,,1,,,,,,,,,,,,,,,,
3,1756914318320,03/09/2025 15:45,1756914318953,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,1,1,2,Screen 2,Zone1,continue_button,2794.099999997765,,,,0,,,,,,,,getReady,,,,,1,,,,,,,,,,,,,,,,
4,1756914322152,03/09/2025 15:45,1756914322790,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,2,1,1,Screen 1,Zone1,continue_button,3821.5,,,,0,,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
5,1756914323143,03/09/2025 15:45,1756914323778,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,2,1,2,individual,Zone4,timelimit_screen,999.8999999999996,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
6,1756914325365,03/09/2025 15:45,1756914325981,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,2,1,3,offer,Zone3,response_button_image,2190.800000000745,,,redBox.png,1,1,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
7,1756914327351,03/09/2025 15:45,1756914327978,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,2,1,5,feedback_r,Zone7,timelimit_screen,2000,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
8,1756914327488,03/09/2025 15:45,1756914328127,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,2,1,6,end,Zone1,timelimit_screen,149.90000000000146,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
9,1756914330459,03/09/2025 15:45,1756914331097,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,3,1,1,Screen 1,Zone1,continue_button,2956.89999999851,,,,0,,,,,,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
10,1756914331457,03/09/2025 15:45,1756914332094,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,3,1,2,individual,Zone4,timelimit_screen,1000,,,,0,,,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
11,1756914332844,03/09/2025 15:45,1756914333457,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,3,1,3,offer,Zone2,response_button_image,1355.2999999970198,,,redBox.png,1,1,,,,,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
12,1756914334801,03/09/2025 15:45,1756914335444,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,3,1,4,feedback_l,Zone7,timelimit_screen,1999.9000000000015,,,,0,,,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
13,1756914334944,03/09/2025 15:45,1756914335595,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,3,1,6,end,Zone1,timelimit_screen,150.20000000000073,,,,0,,,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
14,1756914336420,03/09/2025 15:45,1756914337059,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,4,2,1,Screen 1,Zone1,continue_button,1444.300000000745,,,,0,,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
15,1756914337405,03/09/2025 15:45,1756914338045,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,4,2,2,individual,Zone4,timelimit_screen,1000.0999999999985,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
16,1756914339324,03/09/2025 15:45,1756914339963,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,4,2,3,offer,Zone3,response_button_image,1908.6000000014901,,,redBox.png,1,1,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
17,1756914341314,03/09/2025 15:45,1756914341961,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,4,2,5,feedback_r,Zone7,timelimit_screen,1999.8999999999978,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
18,1756914341462,03/09/2025 15:45,1756914342111,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,4,2,6,end,Zone1,timelimit_screen,150.10000000000218,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
19,1756914342802,03/09/2025 15:45,1756914343446,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,5,3,1,Screen 1,Zone1,continue_button,1318.0999999977648,,,,0,,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
20,1756914343806,03/09/2025 15:45,1756914344444,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,5,3,2,individual,Zone4,timelimit_screen,999.8000000000029,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
21,1756914344936,03/09/2025 15:45,1756914345581,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,5,3,3,offer,Zone3,response_button_image,1126.3999999985099,,,redBox.png,1,1,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
22,1756914346932,03/09/2025 15:45,1756914347578,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,5,3,5,feedback_r,Zone7,timelimit_screen,2000.0999999999985,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
23,1756914347082,03/09/2025 15:45,1756914347727,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,5,3,6,end,Zone1,timelimit_screen,149.79999999999563,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
24,1756914348271,03/09/2025 15:45,1756914348915,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,6,2,1,Screen 1,Zone1,continue_button,1162.5,,,,0,,,,,,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,6,5,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.832,1.118,0.752,1.79,expert
25,1756914349277,03/09/2025 15:45,1756914349911,2,03/09/2025 17:45,183183,6,task-cj2d,,48985685,13,11344880,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 139.0.0.0,1536x864,1536x703,,,,SLS,2,schedule_A,schedule_A,6,2,2,individual,Zone4,timelimit_screen,1000,,,,0,,,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,6,5,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.832,1.118,0.752,1.79,expert
