Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
12,1756914197249,03/09/2025 15:43,1756914197202,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,3,1,4,feedback_l,Zone7,timelimit_screen,1999,,,,0,,,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
13,1756914197397,03/09/2025 15:43,1756914197353,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,3,1,6,end,Zone1,timelimit_screen,150,,,,0,,,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
14,1756914198432,03/09/2025 15:43,1756914198390,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,4,2,1,Screen 1,Zone1,continue_button,1026,,,,0,,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
15,1756914199431,03/09/2025 15:43,1756914199386,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,4,2,2,individual,Zone4,timelimit_screen,999,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
16,1756914201135,03/09/2025 15:43,1756914201091,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,4,2,3,offer,Zone3,response_button_image,1695,,,redBox.png,1,1,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
17,1756914203130,03/09/2025 15:43,1756914203086,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,4,2,5,feedback_r,Zone7,timelimit_screen,1999,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
18,1756914203280,03/09/2025 15:43,1756914203237,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,4,2,6,end,Zone1,timelimit_screen,151,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,4,3,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.983,1.181,0.538,1.588,expert
19,1756914204173,03/09/2025 15:43,1756914204133,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,5,3,1,Screen 1,Zone1,continue_button,883,,,,0,,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
20,1756914205159,03/09/2025 15:43,1756914205115,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,5,3,2,individual,Zone4,timelimit_screen,999,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
21,1756914206980,03/09/2025 15:43,1756914206934,1,03/09/2025 16:43,183183,6,task-cj2d,,48985614,11,11344878,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,1512x982,1512x796,,,,SLS,2,schedule_A,schedule_A,5,3,3,offer,Zone3,response_button_image,1811,,,redBox.png,1,1,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,5,4,,,0.85,0.85,1,1,1,0,Volatile,Stable,1.529,0.891,1.004,1,expert
