Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,left_button,right_button,advice,orderno,trialno,ShowProgressBar,image,prob_blue_corr,prob_group_corr,corr_ans,group_corr,group_choice,blue_pos,indiv_vol,soc_vol,ITI_1,ITI_2,ITI_3,ITI_4,condition
1,1756914278547,03/09/2025 15:44,1756914278479,1,03/09/2025 16:44,183183,6,task-cj2d,,48985670,14,11344881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1440x900,1254x799,,,,SLS,2,schedule_A,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1756914281203,03/09/2025 15:44,1756914281154,1,03/09/2025 16:44,183183,6,task-cj2d,,48985670,14,11344881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1440x900,1254x799,,,,SLS,2,schedule_A,schedule_A,1,1,1,Screen 1,Zone1,continue_button,2492.2000000029802,,,,0,,,,,,,,getReady,,,,,1,,,,,,,,,,,,,,,,
3,1756914283084,03/09/2025 15:44,1756914283045,1,03/09/2025 16:44,183183,6,task-cj2d,,48985670,14,11344881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1440x900,1254x799,,,,SLS,2,schedule_A,schedule_A,1,1,2,Screen 2,Zone1,continue_button,1887.6000000014901,,,,0,,,,,,,,getReady,,,,,1,,,,,,,,,,,,,,,,
4,1756914285793,03/09/2025 15:44,1756914285767,1,03/09/2025 16:44,183183,6,task-cj2d,,48985670,14,11344881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1440x900,1254x799,,,,SLS,2,schedule_A,schedule_A,2,1,1,Screen 1,Zone1,continue_button,2709.39999999851,,,,0,,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
5,1756914286805,03/09/2025 15:44,1756914286755,1,03/09/2025 16:44,183183,6,task-cj2d,,48985670,14,11344881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1440x900,1254x799,,,,SLS,2,schedule_A,schedule_A,2,1,2,individual,Zone4,timelimit_screen,999.9999999999991,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
6,1756914288282,03/09/2025 15:44,1756914288249,1,03/09/2025 16:44,183183,6,task-cj2d,,48985670,14,11344881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1440x900,1254x799,,,,SLS,2,schedule_A,schedule_A,2,1,3,offer,Zone3,response_button_image,1484.7999999970198,,,redBox.png,1,1,,,,,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
7,1756914290279,03/09/2025 15:44,1756914290238,1,03/09/2025 16:44,183183,6,task-cj2d,,48985670,14,11344881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1440x900,1254x799,,,,SLS,2,schedule_A,schedule_A,2,1,5,feedback_r,Zone7,timelimit_screen,2000.1000000000004,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
8,1756914290416,03/09/2025 15:44,1756914290388,1,03/09/2025 16:44,183183,6,task-cj2d,,48985670,14,11344881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1440x900,1254x799,,,,SLS,2,schedule_A,schedule_A,2,1,6,end,Zone1,timelimit_screen,149.89999999999964,,,,0,,,,,1,,,trial_right,redBox.png,yellowBox.png,redBox.png,al1_con.png,2,1,,,0.85,0.85,1,1,1,0,Volatile,Stable,3.471,0.525,1.66,2.529,expert
9,1756914293950,03/09/2025 15:44,1756914293916,1,03/09/2025 16:44,183183,6,task-cj2d,,48985670,14,11344881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1440x900,1254x799,,,,SLS,2,schedule_A,schedule_A,3,1,1,Screen 1,Zone1,continue_button,3514.7000000029802,,,,0,,,,,,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
10,1756914294949,03/09/2025 15:44,1756914294905,1,03/09/2025 16:44,183183,6,task-cj2d,,48985670,14,11344881,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 139.0.0.0,1440x900,1254x799,,,,SLS,2,schedule_A,schedule_A,3,1,2,individual,Zone4,timelimit_screen,999.1000000000004,,,,0,,,,,1,,,trial_left,redBox.png,redBox.png,yellowBox.png,al1_con.png,3,2,,,0.85,0.85,1,1,1,1,Volatile,Stable,1.782,1.168,1.168,2.462,expert
